Brand,Description,Score
Château de Bellet Rouge,Great wine with full body aromas of white peach fruits very slightly honeyed and a discreet woody melted Great bottle Too bad the owners are so unkind to say the least,"4,5"
Château de Bellet Rouge,Small pleasant note of red fruits but lack of persistence in the mouth. To decant preferably before tasting,4
Château de Bellet Rouge,"Pleasant fruity. Wine of character. More full bodied than a ""classic"" rosé. Perfect for a subtle match.",4
Château de Bellet Rouge,"Superb wine, aromatic, freshness",4
Château de Bellet Rouge,"well melted, balanced, fresh in the mouth. Bu in Oct 2016. Excellent. In its plenitude for those who have in their cellar, to drink without waiting.",4
Château de Bellet Rouge,Exceptional! A real crush on this explosive wine with aromas and an unusual mouth.,5
Château de Bellet Rouge,"Wine already completed with a lot of freshness despite the appellation. Nose of black fruits on ripened ample mouth, velvety with big deployment. To keep of course",4
Château de Bellet Rouge,Excellent Very nice surprise To discover quickly !!,4
Château de Bellet Rouge,"Power and tannin, I love","4,5"
Château de Bellet Rouge,Wine of the marriage of the Prince of Monaco. Medium,3
Château de Bellet Rouge,Super red aperitif with blackcurrant ...,5
Château de Bellet Rouge,The white bellet is amazing!,5
Château de Bellet Rouge,Nose: Black cherry - floral - Palate: black fruits,5
Château de Bellet Rouge,Tea well done,"2,5"
Château de Bellet Rouge,without interest . rear taste unpleasant. Folle Noire unpleasant in the mouth.,1
Château de Bellet Rouge,"Quite powerful nose of fruits, apple pie, spice, more powerful on the palate, dry","3,5"
Château de Bellet Rouge,"If you like the reds of southern France, you will like this! It’s a mix of Folle Noir, which is almost extinct, and Grenache. Pepper, cherry, strawberry, jam, raisins, dried figs. Medium acidity, soft tannins, lengthy & warm finish.",4
Château de Bellet Rouge,"Excellent aged ruby red ripe berries cherry Different combo Grenach/Folle Noir 50/50 light oak, cd feel high alcohol",4
Château de Bellet Rouge,"s my last, or fourth bottle tonight, with Journey, ""don’t stop believing"", mom. night all! oh, it's from Cotê du Rhone, maybe, I like it..., night, night. ;)",4
Château de Bellet Rouge,"Quite scary, meeting a holiday love again after 4 years. Doesn't she disappoint, this 70% Rolle, 30% Grenache from the tiny appalation at Nice? Although very young: no way !!! Dry scent of black cherries, black pepper and potting soil. In the full aftertaste without hard tannins a lot of chocolate, wild strawberry, whole milk, red cherries, herbes d 'Provence, earth and tobacco. Delicious! The aftertaste is somewhat more acidic, towards chocolate-covered black currants. Tip!!! Unnoticeable 15%, 25 € @ on the spot, thanks for the import, Suus","4,5"
Château de Bellet Rouge,Magnificent!,"4,5"
Château de Bellet Rouge,"It stands less than Le Chapelle, so it’s simpler and even sharper","4,5"
Château de Bellet Rouge,Extreme elegant summer wine! Bolo meets provence !! Now up to cahors .... Malbec till i die!,4
Château de Bellet Rouge,"A 50% Grenache and 50% Folle Noir from the very south of France. Bellet AOC is just a drive away from Nice in Provence! This wine really showed something I haven't had in a red wine glass In a while. First it seems like skinny jeans/sour cherry on the palate. But THEN.. with a 15% of alcohol, a glycerol coating, surrounding the inside of my mouth. Like a cognac. Evaporating on my tongue in flavor. Full on with flavor and intensity! Paired this with duck and green pea mash and redwine glaze. Oh my.. 🍷👍",4
Château de Bellet Rouge,Great wine from a wonderful trip,"4,5"
Château de Bellet Rouge,Dense complex but with a nice touch of red fruits (raspberries),4
Château de Bellet Rouge,"Solid red, light tannins, slightly acidic. Weirdest red but good","4,5"
Château de Bellet Rouge,Best Rose so far while in Provence,"4,5"
Château de Bellet Rouge,Quite wonderful Rolle. Bought this bottle outside of Nice at the winery. Yes!,"4,5"
Château de Bellet Rouge,"Dark. Fantastic nose. Vinous, Mediterranean spices, depth and complexity (reminders of great grenache). The taste doesn't quite follow the nose ...",3
Château de Bellet Rouge,"65 folle noire 35 grenache let it open for a while as ""crazy dark"" (folle noire) is easier to drink when it gets some air. Worth trying with old cheese, red meat. Quality wine from Bellet",4
Château de Bellet Rouge,"A super discovery from southern France. Long smooth and well balanced, initial jammy taste, slight tannins and long aftertaste. then start then becomes more fruity and complex in the mouth. Quite expensive for this region that would normally pay but restaurant in Nice and recommended by them. Note 14.5 %",4
Château de Bellet Rouge,"Light jam flavor, little tannins, in itself very nice, only the cork tends to dry out. Definitely lie down",4
Château de Bellet Rouge,"Oaky and buttery. Purchased from the vineyard itself. Really enjoyed this, wish we’d bought more.","4,5"
Château de Bellet Rouge,Beautiful wine. Full yet fruity. Nicely balanced.,"4,5"
Château de Bellet Rouge,New & Interesting taste of Rolle,"3,5"
Château de Bellet Rouge,Great French Red.,4
Château de Bellet Rouge,"Minuty at first, but with a strong taste of strawberries at the end.",4
Château de Bellet Rouge,"Super smooth, light",4
Château de Bellet Rouge,"Muffin, vanilla, leather, no darling","3,5"
Château de Bellet Rouge,The stony soil and resilient grape combine to present this disturbed blend. Bitter like my ex and dirty... like my ex.,2
Château de Bellet Rouge,Balanced but somewhat dry.,5
Château de Bellet Rouge,Fruity floral Tried at vineyard in Nice,4
Château de Bellet Rouge,"Elegant. Substantial, unusual rose; aromatic, peach, melon",4
Château de Bellet Rouge,"Brilliant, straightforward!",4
Château de Bellet Rouge,The Nizzardi knew their business,4
Château de Bellet Rouge,"Wine has evolved extremely well after resting in decanter. The clear color, complex aroma and round finish.",5
Château de Bellet Rouge,Lovely cherry fruit and freshness. Doesn't appear to have aged much at all.,4
Château de Bellet Rouge,Light and smooth,5
Château de Bellet Rouge,Excellent french wine. Dry and intense.,5
Château de Bellet Rouge,Nice and fruity,4
Château de Bellet Rouge,In the top,5
Château de Bellet Rouge,Excellent,4
Château de Bellet Rouge,Fruity excellent !!!,5
Château de Bellet Rouge,"Very nice to drink, soft, would be good with lamb or... bouillabaisse","3,5"
Château de Bellet Rouge,A good bodied Provence red,3
Château de Bellet Rouge,"A wonderful wine local to Nice on the cote d’azur. Made with a grape known as the Folle Noir, or Crazy Black, notorious for it’s inconsistent growth! Full bodied, fruity and rich, with no hint of bitterness or mal intent. A rare find, enjoy it!",5
Château de Bellet Rouge,Good balance fruity excellent with roast lamb,5
Château de Bellet Rouge,God rose fra provance,5
Château de Bellet Rouge,superb,5
Château de Bellet Rouge,Perfect!,5
Baron G Rose,The rose of the colour is in The nose exhales raspberry and licorice The mouth is full and long A beautiful wine,4
Baron G Rose,"Superb very expressive nose with an uncommon variety, notes of underwood, mouth with a nice balance and a good freshness, beautiful length very beautiful bottle, appellation to discover!",4
Baron G Rose,Pleasant wine Less full bodied than its baron counterpart,3
Baron G Rose,Pffffff with a fois gras .....,4
Baron G Rose,At Dorine et David,4
Baron G Rose,"Nose of peach, violet and cherry. In the mouth grape peach dominates",4
Baron G Rose,"Fruity, black cherry",4
Baron G Rose,Fruity notes of fresh cherries. Crunchy with some very nice structure.,5
Baron G Rose,"Very beautiful colour, good holding in mouth.",4
Baron G Rose,bellet ???? the appellation is not a good wine. far from Provence and light years from one side of the Rhône,2
Baron G Rose,"Capitous, gourmand, fruity, generous","1,5"
Baron G Rose,"Red berries mainly sloe and sour red cherries. A bit oxidated. Medium avidity. Long tail. From one of the smallest and oldest wine districts in France, Bellet. 85% Braquet, 10% Grenache and 5% Cinsault.",4
Baron G Rose,Quite nice for such a young wine. Mixed perfect with the spicy food it was served with.,4
Baron G Rose,Earthy. Chocolate. Ripe fruit. 35% Gernache and 65% folle Nior.,4
Baron G Rose,Love this. Best of Bellet I think. Fresh fruity & delicious,"4,5"
Baron G Rose,"Earthy, unusual stuff","4,5"
Baron G Rose,Very special,4
Baron G Rose,"Very good. In the flavor there are berries, while fresh. Slightly oxidized. But for rose 2006, it is terribly alive","3,5"
Baron G Rose,"This is really serious! Mashed strawberries, cherries and a sense of minerality. High acidity and high food potential.",4
Baron G Rose,Fantastic rose from a wonderful trip,"4,5"
Baron G Rose,"Delicious, it goes down it's a marvel. Ideal with seafood.",4
Baron G Rose,Best rose I ever had,5
Baron G Rose,Best rose ever tasted. Nice. Scents of incredible Mediterranean scrub. Red berry. Slight taste of wood.,5
Baron G Rose,Nice,"3,5"
Baron G Rose,Very good,4
Baron G Rose,It has long been past its peak wine with a faint hint of strawberries in a bouquet and taste. The color is much like an orange wine with a long exposure to the pulp.,3
Baron G Rose,Dark and strong rosé that can be used for much food. The color is almost like a bright light pinot. Tart and with good aftertaste.,"4,5"
Baron G Rose,"Colorful to be Provence, and also tasty - raspberries, pomegranate, yellow apples and grapefruit",4
Baron G Rose,Without pain or glory. Light,"3,5"
Baron G Rose,Very special rosé. Powerful and yet very comfortable and soft.,"3,5"
Baron G Rose,"And nevertheless pure Rolle (Vermentino) at the end is harsh, as if it were not kept in barrels","4,5"
Baron G Rose,Honey and white fruits,"4,5"
Baron G Rose,Fruity and oak,4
Baron G Rose,"Very unique Rosé, very floral","4,5"
Baron G Rose,Fine. Nothing outstanding.,3
Baron G Rose,"Exhausted, but with good acidity and fresh taste.",3
Baron G Rose,Great strawberry. Very original.,"4,5"
Baron G Rose,I liked the duck and the food.,4
Baron G Rose,"Not a big fan of pink but definitely one of the best ever drunk. Notes of red fruits, scrubland, literally enveloping the palate. Little salinity much roundness Top",5
Baron G Rose,Super,4
Baron G Rose,"Light, like champagne. Yummy",5
Baron G Rose,No interest,"1,5"
Baron G Rose,Rose on this grape was nothing for me,2
Baron G Rose,Fruity and full,4
Baron G Rose,Very good,5
Baron G Rose,"Complex, dark",4
Baron G Rose,Melon,"1,5"
Baron G Rose,An interesting mature wine. Unexpectedly for the rosé beast. Easily coped with prosciutto.,4
Baron G Rose,Made in oak barrels. Okay. But the tank is more fruity,4
Baron G Rose,Tasty gourmet wine WAW,5
Baron G Rose,"Beautiful strawberry peach color, intriguing aroma of spice/flower/strawberry, dry medium rounded mouthfeel, soft bitter tone compliments well with the strawberry and fragrant flavor, medium finish. Interesting wine on its own.",3
Baron G Rose,3.5 for now ... Let's wait a bit.,"3,5"
Baron G Rose,value for noney,3
Baron G Rose,"100% Braquet, interesting green taste. Really red for a rosé.",3
Baron G Rose,I did not understand the question,"3,5"
Baron G Rose,Possibly. Waited a bit too long - already slightly sweet and similar to Vinsanto. Still very good!,"3,5"
Baron G Blanc,Nose citrus and honey. Round mouth and greedy. Beautiful length.,"4,5"
Baron G Blanc,"A slightly lemony nose, woody at will and round. A sweet mouth, well balanced. A beautiful rolle of the hills of Nice! Beautiful discovery",4
Baron G Blanc,"Moderately supported colour. Nose: very subtle and very pure: candied white fruits (plum, peach, apple ...). Palate: very smooth and balanced, it is tasted with the tip of the tongue. Long finish, with a hint of bitterness.","4,5"
Baron G Blanc,"Very fresh, tense, precise. superb","4,5"
Baron G Blanc,Superb with grilled lobster,"3,5"
Baron G Blanc,"What a nice surprise ! A bottle forgotten in the cellar, which has evolved perfectly. The colour is beautifully golden, the mouth is greedy, opulent, persistent with a woody elegant and well integrated. It's very good!",4
Baron G Blanc,A very successful southern white with a freshness brought by almond bitters in the finish. Very good.,4
Baron G Blanc,Nervous and precise. Very good white.,4
Baron G Blanc,"Interesting, Italian grape for this southern white. The texture is suberbe, full bodied. The mouth is less complex than the nose. There is a real finesse, it's good. We will just like a little more persistence in the finish.","3,5"
Baron G Blanc,The top full bodied very powerful wine a lot of acidity Very balanced wine To taste,"4,5"
Baron G Blanc,"Very expressive nose: floral (acacia), hints of honey, bergamot and slightly reduced (ripe apple). Palate: very silky, delicate finish, with a nice body. Fruity and fresh attack (apple), mid-palate there are some tertiary aromas (caramel), slightly spicy finish. A very beautiful wine, magnificent expression of the Rolle, but which type very chardonnay.",5
Baron G Blanc,"Quite original, one or syrupy with a bitter but fresh finish.","4,5"
Baron G Blanc,"Wonderful wine, with a fresh nose on buttered notes, white flowers, bergamot, which kind enough chardonnay. On the palate, the wine is round and fresh with a beautiful body, with notes of apple, flowers and a very nice finish on the fruit kernel / bitter almond.",5
Baron G Blanc,"Pleasant, atypical appreciated with a fish",4
Baron G Blanc,Very pleasantly surprised,4
Baron G Blanc,"Slightly full bodied, a lot of holding. We went with foie gras and then duck.",4
Baron G Blanc,Mineral wine but with a certain roundness,5
Baron G Blanc,"Pepper, citrus, oak, I agree with another reviewer. Drinking it after Chablis, it took some time to get used to it but actually very good with rawish scallops, asparagus and sauce hollandaise.",4
Baron G Blanc,"Blend of the Rolle grape 95% and the Chardonnay 5%. Aromas of stone fruit, almonds and flowers. Complex and structured. You taste pear, apricot and vanilla notes. Long finish","4,5"
Baron G Blanc,"Pepper, citrus, oak and white fruits and flowers. Great concentration and flavor depth. Excellent. 90 p","4,5"
Baron G Blanc,"Best from Bellet, very well integrated","4,5"
Baron G Blanc,"Very enjoyable. On stone fruits, apricot, hints of liquorice, white pepper. Lovely.",4
Baron G Blanc,I Like this wine. Very fruity complexity. Everlasting final. Perfect balance!!,4
Baron G Blanc,"Wine from a small appellation next to Nice (they say almost the oldest vineyard in France). It would seem, well, what can we expect from an almost resort wine? The aroma of almond liqueur, ripe fruit on the palate is almost dessert. Full bodied. Elegantly aged!","4,5"
Baron G Blanc,"Super white wine to my liking. Lime, apricot, dish and a well balanced acidity. Works well for eg shrimp, asparagus and a sauce. I've been to Chateau de Bellet in Nice earlier this year. However, this bottle is drunk at Restaurant Cutlery.",4
Baron G Blanc,Good bottle,4
Baron G Blanc,"From the hilltops of Nice, with '000s hours of sun tempered with Meditterean breeze, a literally ""royal wine"" of 95% Rolle blended with 5% of Chardonnay. Crisp with attitude. Almost perfect!","4,5"
Baron G Blanc,"Tasting at Bellet winery, Provanse One of three wines presented on degustation - and clear winer of set 4++ Wine made of 95% Rolle grape and 5% Chardonnay added to give rounded taste. Good floral aromas and impressive taste, mostly affected by chalcy and hard as rock soil. Medium body, light tannins and well integrated acidity. Really elegant wine Trust that it will improve over aging to full 5* wine, take a bottle to prove theory",4
Baron G Blanc,Neat perfume and dried fruit. Interesting.,4
Baron G Blanc,Mature white、value for money.,4
Baron G Blanc,Actually 4.1 or 4.2 Deeper than Chardonnay Grand Cru-wins Role.,4
Baron G Blanc,88-88.5 / 100 breathed. quite alive. not very complicated but very interesting,4
Baron G Blanc,"Ever heard of the Bellet AOC? Me neither. This is 95% rolle and 5% chardonnay as I recall, tasted blind. Fresh in a very Sancerre way, showing limefruit zest, wheatgrass, limestone with a nice intensity. Acidic but slightly offdry as I recall. Interesting wine.",3
Baron G Blanc,"Fruity, reminded me of whiskytaste, maybe some honey, nuts?",4
Baron G Blanc,"Light and floral, great daytime drinking",4
Baron G Blanc,"Beautiful, just like Nice!","4,5"
Baron G Blanc,Pleasingly fresh but with surprising depth from the 5% Chardonnay,4
Baron G Blanc,Perfect match with lobster,"4,5"
Baron G Blanc,"Pretty oaky, dry white from the tiny Bellet appellation near Nice. Overpriced IMO @€30 from the chateau","3,5"
Baron G Blanc,100% indigenous aboriginal grape of beautiful roundness full bodied pretty,4
Baron G Blanc,A great start Vermentino smooths out sharpness at the end of 5% Chardonnay. Super!,5
Baron G Blanc,Great :-),4
Baron G Blanc,Unrivaled,"4,5"
Baron G Blanc,Nice local wine! At La Merenda we followed the chef's advice at dinner. And we liked it!),4
Baron G Blanc,"Excellent white wine with 95% Rolle and 5% Chardonnay grapes only. A very good body, nose and taste.",5
Baron G Blanc,Very reminiscent of sherry. Strong taste of something fruit / dried fruit.,"3,5"
Baron G Blanc,Really a delicious wine. The 5% Chardonnay rounds the wine off well.,4
Baron G Blanc,"Wonderful, went to the winery in France and bought a sample of everything...so good!","4,5"
Baron G Blanc,Lost body,3
Baron G Blanc,"Three years ago in July, I bought wine from a nearby winery in Nice, the last town of my honeymoon. Wife who did not enjoy Nice enough by evil temper. My daughter also got bigger safely. I saved the wine, I opened it with two people ♪ I feel refreshed and smooth, today in Depa underground where I went out to search for my daughter's swimsuit, the level of the prepared food to match the wine was high, too I was satisfied. After a meal, I took a walk in the neighborhood with three people and watched the rest of Totoro together. Everything is calm.",4
Baron G Blanc,Fantastic!,"4,5"
Baron G Blanc,Dry and original,4
Baron G Blanc,thx always Tasaki san :),3
Baron G Blanc,"Dry, tasty and very good.","3,5"
Baron G Blanc,"Fresh, local, bubbly","4,5"
Baron G Blanc,This is exactly a five point one. Very cool stuff from Rolle. May live another 5 years ...,5
Baron G Blanc,"Great wine. Very nice bouquet. Spicy. With a taste of pear, lemon, nuts.",5
Baron G Blanc,Died,1
Baron G Blanc,A nice wine would need a good food pairing,"3,5"
Baron G Blanc,"A delicious wine, would be wonderful with fish.","4,5"
Baron G Blanc,value for money!,4
Baron G Blanc,"Lovely, great flavour.",5
Baron G Blanc,Perfect outdoor drinking. Rolle on summer (forgive the pun)!!!,4
Baron G Blanc,Freshly white,"3,5"
Baron G Blanc,Fruity wine,4
Baron G Blanc,Complex honey Tried at vineyard in Nice,5
Baron G Blanc,surprising,3
Baron G Blanc,Not my taste - find it bitter and did not enjoy it at all. Apparently served at the wedding of the monarch of Monaco - perhaps prior years were better...,1
Baron G Blanc,"Complex, long, intense",5
Baron G Blanc,"Crazy. Fruity, full, special combination of flavors.",5
